,ID,Date,Time,Open,High,Low,Close
384702,9,2021-04-08,15:00:00,40.21,40.94,40.02,40.64
384701,9,2021-04-08,16:00:00,40.51,40.8,40.49,40.78
384700,9,2021-04-08,17:00:00,41.02,41.19,40.67,40.86
384699,9,2021-04-08,18:00:00,40.76,40.79,40.48,40.72
384698,9,2021-04-08,19:00:00,40.66,41.02,40.55,40.93
384697,9,2021-04-08,20:00:00,40.88,41.29,40.81,41.02
384696,9,2021-04-08,21:00:00,40.99,41.1,40.65,40.81
384695,9,2021-04-08,22:00:00,40.72,40.74,40.38,40.58
384694,9,2021-04-08,23:00:00,40.64,41.23,40.59,41.04
384693,9,2021-04-09,00:00:00,41.26,41.6,41.12,41.4
384692,9,2021-04-09,01:00:00,41.35,41.92,41.34,41.84
384691,9,2021-04-09,02:00:00,41.85,42.09,41.56,41.73
384690,9,2021-04-09,03:00:00,41.56,41.75,41.47,41.59
384689,9,2021-04-09,04:00:00,41.41,41.68,41.27,41.68
384688,9,2021-04-09,05:00:00,41.39,41.52,41.28,41.31
384687,9,2021-04-09,06:00:00,41.29,41.54,41.16,41.2
384686,9,2021-04-09,07:00:00,40.99,41.31,40.97,41.2
384685,9,2021-04-09,08:00:00,40.99,41.02,40.79,41.0
384684,9,2021-04-09,09:00:00,41.17,41.18,40.72,41.0
384683,9,2021-04-09,10:00:00,40.74,41.08,40.73,40.97
384682,9,2021-04-09,11:00:00,40.87,41.56,40.83,41.26
384681,9,2021-04-09,12:00:00,41.33,41.63,41.13,41.49
384680,9,2021-04-09,13:00:00,41.36,41.51,41.01,41.08
384679,9,2021-04-09,14:00:00,41.07,41.34,41.05,41.32
384678,9,2021-04-09,15:00:00,41.21,41.41,40.73,40.94
384677,9,2021-04-09,16:00:00,41.13,41.21,40.53,40.53
384676,9,2021-04-09,17:00:00,40.57,40.69,40.1,40.64
384675,9,2021-04-09,18:00:00,40.77,40.78,40.46,40.52
384674,9,2021-04-09,19:00:00,40.65,40.83,40.48,40.68
384673,9,2021-04-09,20:00:00,40.79,40.84,40.51,40.62
384672,9,2021-04-09,21:00:00,40.66,40.7,40.44,40.59
384671,9,2021-04-09,22:00:00,40.5,40.8,40.48,40.78
384670,9,2021-04-09,23:00:00,40.8,41.06,40.68,40.86
384669,9,2021-04-10,00:00:00,40.7,40.76,40.43,40.72
384668,9,2021-04-10,01:00:00,40.82,41.01,40.45,40.46
384667,9,2021-04-10,02:00:00,40.74,41.17,40.74,41.1
384666,9,2021-04-10,03:00:00,41.31,41.38,41.05,41.16
384665,9,2021-04-10,04:00:00,41.32,41.75,41.25,41.66
384664,9,2021-04-10,05:00:00,41.76,42.57,41.76,41.93
384663,9,2021-04-10,06:00:00,42.33,42.4,42.01,42.14
384662,9,2021-04-10,07:00:00,42.22,42.52,42.18,42.41
384661,9,2021-04-10,08:00:00,42.3,42.33,41.89,41.97
384660,9,2021-04-10,09:00:00,42.03,42.26,42.03,42.11
384659,9,2021-04-10,10:00:00,41.94,42.08,41.91,42.03
384658,9,2021-04-10,11:00:00,42.0,42.0,41.56,41.65
384657,9,2021-04-10,12:00:00,41.77,41.99,41.72,41.9
384656,9,2021-04-10,13:00:00,41.85,41.97,41.53,41.67
384655,9,2021-04-10,14:00:00,41.48,41.68,41.14,41.34
384654,9,2021-04-10,15:00:00,41.43,41.44,41.15,41.16
384653,9,2021-04-10,16:00:00,41.19,41.37,40.95,41.19
384652,9,2021-04-10,17:00:00,41.13,41.53,40.98,41.36
384651,9,2021-04-10,18:00:00,41.3,41.35,40.85,41.09
384650,9,2021-04-10,19:00:00,40.99,40.99,40.44,40.78
384649,9,2021-04-10,20:00:00,40.93,41.0,40.65,40.94
384648,9,2021-04-10,21:00:00,40.87,40.99,40.47,40.53
384647,9,2021-04-10,22:00:00,40.22,40.76,40.14,40.71
